,V1,V2
820,188,188
821,188,2195
822,188,2021
823,188,3073
824,188,4168
825,188,382
826,188,277
827,188,3634
828,188,3337
829,188,3734
830,189,189
831,190,190
832,190,3047
833,190,959
834,191,191
835,192,192
836,193,193
837,194,194
838,194,201
839,194,3820
840,195,195
841,196,196
842,196,1453
843,196,4104
844,196,1956
845,196,395
846,196,1787
847,197,197
848,197,4343
849,197,80
850,198,198
851,198,697
852,198,3946
853,199,199
854,199,1680
855,199,1216
856,199,2451
857,200,200
858,201,201
859,201,194
860,201,2573
861,201,1662
862,201,3867
863,201,1241
864,201,4568
865,202,202
866,202,710
867,202,2831
868,202,827
869,202,931
870,202,2052
871,203,203
872,203,2611
873,203,2743
874,203,864
875,204,204
876,204,801
877,204,225
878,204,830
879,204,547
880,204,4304
881,204,2607
882,204,3016
883,205,205
884,205,2881
885,205,1830
886,205,2667
887,205,2843
888,205,3066
889,205,1734
890,205,4365
891,205,3029
892,206,206
893,206,1326
894,207,207
895,207,2168
896,208,208
897,208,2529
898,208,1927
899,209,209
900,209,3908
901,210,210
902,210,4411
903,210,4190
904,210,4320
905,210,2625
906,210,3997
907,210,2711
908,210,554
909,210,1142
910,211,211
911,211,2041
912,211,3876
913,211,1944
914,211,224
915,212,212
916,213,213
917,213,3658
918,213,3385
919,213,3640
920,213,3624
921,213,537
922,214,214
923,214,2944
924,215,215
925,215,1885
926,215,223
927,215,2490
928,215,1840
929,215,3836
930,215,3691
931,216,216
932,217,217
933,217,3856
934,217,2533
935,217,901
936,217,4581
937,217,4072
938,217,3556
939,218,218
940,218,2905
941,219,219
942,219,2938
943,219,1982
944,219,673
945,219,1066
946,220,220
947,220,3996
948,220,3320
949,220,2677
950,220,3607
951,221,221
952,221,691
953,221,693
954,221,3248
955,221,371
956,221,3862
957,221,2304
958,221,2032
959,222,222
960,223,223
961,223,3719
962,223,1885
963,223,1813
964,223,215
965,223,3438
966,223,3087
967,223,3187
968,224,224
969,224,2122
970,224,1284
971,224,2256
972,224,211
973,225,225
974,225,2243
975,225,204
976,225,2704
977,225,4069
978,225,752
979,226,226
980,227,227
981,227,774
982,227,743
983,227,3612
984,227,440
985,227,4415
986,227,2495
987,228,228
988,228,2528
989,228,3780
990,228,2589
991,228,2248
992,228,100
993,228,415
994,229,229
995,229,3601
996,229,1621
997,230,230
998,230,3109
999,230,2094
1000,230,1884
1001,230,3288
1002,230,3016
1003,231,231
1004,231,839
1005,231,1510
1006,231,2658
1007,231,2002
1008,232,232
1009,232,920
1010,232,4118
1011,233,233
1012,233,2420
1013,233,1012
1014,234,234
1015,234,2750
1016,234,3403
1017,234,618
1018,234,2895
1019,234,4070
1020,234,3114
1021,235,235
1022,235,3629
1023,235,2342
1024,235,1506
1025,236,236
1026,236,3030
1027,237,237
1028,237,685
1029,238,238
1030,238,4569
1031,239,239
1032,239,2664
1033,239,4111
1034,239,1585
1035,239,2486
1036,239,4310
1037,239,3389
1038,240,240
1039,241,241
1040,241,605
1041,241,3234
1042,242,242
1043,243,243
1044,244,244
1045,244,1004
1046,244,738
1047,244,4010
1048,245,245
1049,245,2435
1050,246,246
1051,247,247
1052,247,261
1053,247,1114
1054,247,1678
1055,247,3806
1056,247,1940
1057,247,3777
1058,247,120
1059,247,2027
1060,248,248
1061,248,4101
1062,248,2549
1063,248,1235
1064,248,581
1065,249,249
1066,249,4335
1067,249,2461
1068,250,250
1069,250,1369
1070,250,15
1071,251,251
1072,251,806
1073,251,4508
1074,251,4616
1075,251,1503
1076,252,252
1077,252,804
1078,252,3241
1079,253,253
1080,253,914
1081,253,1061
1082,253,1664
1083,253,1174
1084,253,1269
1085,253,3557
1086,253,1534
1087,253,3409
1088,254,254
1089,254,56
1090,254,3322
1091,254,2476
1092,254,924
1093,254,3760
1094,255,255
1095,255,2353
1096,255,3341
1097,255,4260
1098,255,4330
1099,256,256
1100,256,4102
1101,256,3673
1102,257,257
1103,257,983
1104,257,1526
1105,258,258
1106,258,1478
1107,258,2547
1108,259,259
1109,259,2603
1110,259,2327
1111,259,2933
1112,260,260
1113,260,812
1114,260,348
1115,260,3072
1116,260,102
1117,260,3032
1118,261,261
1119,261,247
1120,261,1114
1121,261,1461
1122,261,2059
1123,261,1549
1124,261,3324
1125,262,262
1126,262,3500
1127,263,263
1128,263,3846
1129,264,264
1130,264,958
1131,264,1234
1132,264,2733
1133,264,158
1134,264,897
1135,265,265
1136,265,1960
1137,266,266
1138,266,927
1139,266,1846
1140,266,3702
1141,266,1729
1142,266,1033
1143,266,2786
1144,266,2469
1145,267,267
1146,267,841
1147,268,268
1148,269,269
1149,269,975
1150,269,1751
1151,269,656
1152,270,270
1153,270,2330
1154,270,4407
1155,270,4146
1156,270,3373
1157,270,2191
1158,270,545
1159,270,389
1160,270,1968
1161,271,271
1162,271,3532
1163,272,272
1164,272,3298
1165,272,2930
1166,272,3450
1167,273,273
1168,273,3346
1169,274,274
1170,274,1401
1171,274,1546
1172,274,867
1173,274,2396
1174,274,3654
1175,275,275
1176,276,276
1177,276,942
1178,276,160
1179,277,277
1180,277,2195
1181,277,188
1182,277,2021
1183,277,3073
1184,277,4282
1185,277,3734
1186,277,2260
1187,277,4168
1188,277,1654
1189,278,278
1190,279,279
1191,279,2036
1192,279,763
1193,279,4480
1194,279,1554
1195,279,3324
1196,279,1960
1197,279,2224
1198,280,280
1199,281,281
1200,282,282
1201,283,283
1202,283,296
1203,283,2524
1204,283,4079
1205,284,284
1206,284,548
1207,285,285
1208,286,286
1209,286,2513
1210,287,287
1211,287,2259
