"","V1","V2"
"1033",407,7051
"1034",407,5635
"1035",407,5078
"1036",407,5234
"1037",407,6051
"1038",407,8105
"1039",407,5474
"1040",407,6869
"1041",407,5455
"1042",407,7952
"1043",408,5865
"1044",408,5805
"1045",408,6147
"1046",408,5526
"1047",408,5891
"1048",408,5368
"1049",408,7310
"1050",408,5955
"1051",408,6573
"1052",409,5984
"1053",409,5187
"1054",409,6846
"1055",409,5320
"1056",409,7097
"1057",409,5069
"1058",409,5816
"1059",410,7146
"1060",410,7331
"1061",411,8250
"1062",412,7813
"1063",412,6319
"1064",414,6916
"1065",415,6506
"1066",415,6733
"1067",417,7646
"1068",417,6123
"1069",417,7981
"1070",417,7000
"1071",419,7057
"1072",419,8127
"1073",419,7749
"1074",420,7404
"1075",420,7921
"1076",424,6877
"1077",426,5796
"1078",426,5658
"1079",427,8457
"1080",427,8614
"1081",428,8263
"1082",428,7812
"1083",429,7314
"1084",431,5350
"1085",435,7163
"1086",435,7396
"1087",435,8063
"1088",436,7019
"1089",437,6038
"1090",437,7773
"1091",437,7481
"1092",438,7534
"1093",439,7501
"1094",439,7029
"1095",441,7930
"1096",441,6878
"1097",442,5805
"1098",443,7012
"1099",443,6694
"1100",443,6726
"1101",444,5194
"1102",444,5378
"1103",444,5244
"1104",445,4807
"1105",447,7058
"1106",449,6711
"1107",449,6537
"1108",449,6322
"1109",449,6065
"1110",449,7103
"1111",454,6467
"1112",454,6586
"1113",455,7731
"1114",455,7903
"1115",455,7599
"1116",457,7386
"1117",457,7057
"1118",459,8689
"1119",459,8140
"1120",459,6949
"1121",459,5676
"1122",460,5753
"1123",460,5658
"1124",460,5445
"1125",460,5172
"1126",460,7418
"1127",463,5123
"1128",463,8362
"1129",463,6473
"1130",463,7942
"1131",465,7728
"1132",466,7806
"1133",466,6238
"1134",468,7900
"1135",469,5907
"1136",469,5803
"1137",469,5363
"1138",469,5009
"1139",469,4836
"1140",469,5194
"1141",469,5541
"1142",469,7362
"1143",469,6621
"1144",469,8801
"1145",469,5329
"1146",469,4923
"1147",469,5053
"1148",469,7792
"1149",469,5299
"1150",473,8675
"1151",473,8325
"1152",474,8333
"1153",474,7716
"1154",479,7748
"1155",479,5600
"1156",479,7689
"1157",479,6232
"1158",479,7788
"1159",479,5985
"1160",479,5795
"1161",479,6635
"1162",479,7097
"1163",479,7456
"1164",479,8199
"1165",479,8017
"1166",480,5576
"1167",482,8765
"1168",482,8711
"1169",482,8228
"1170",482,8531
"1171",486,8224
"1172",486,8759
"1173",486,7719
"1174",487,8468
"1175",487,6684
"1176",487,5584
"1177",487,7053
"1178",487,6575
"1179",487,7602
"1180",487,6701
"1181",487,5739
"1182",487,6077
"1183",487,7719
"1184",488,8309
"1185",488,5048
"1186",490,6956
"1187",490,7536
